"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-74.62","47.92","PARENT","7075800","2012-01-01","2012","01","01","","1.2","","-5.9","","-2.4","","20.4","","0.0","","0.0","","","M","3.8","","29","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-02","2012","01","02","","1.2","","-20.5","","-9.7","","27.7","","0.0","","","M","","M","2.4","","30","","27","","48",""
"-74.62","47.92","PARENT","7075800","2012-01-03","2012","01","03","","-20.4","","-31.9","","-26.2","","44.2","","0.0","","","M","","M","0.0","","29","","29","","37",""
"-74.62","47.92","PARENT","7075800","2012-01-04","2012","01","04","","-13.2","","-32.7","","-23.0","","41.0","","0.0","","0.0","","","M","4.0","","30","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-05","2012","01","05","","-12.0","","-29.4","","-20.7","","38.7","","0.0","","","M","","M","0.0","","33","","30","","33",""
"-74.62","47.92","PARENT","7075800","2012-01-06","2012","01","06","","-12.5","","-29.2","","-20.9","","38.9","","0.0","","0.0","","","M","6.6","","32","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-07","2012","01","07","","-3.6","","-13.8","","-8.7","","26.7","","0.0","","","M","","M","0.5","","37","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-08","2012","01","08","","-12.8","","-23.0","","-17.9","","35.9","","0.0","","","M","","M","1.7","","35","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-09","2012","01","09","","-2.3","","-19.0","","-10.7","","28.7","","0.0","","0.0","","","M","2.6","","34","","18","","35",""
"-74.62","47.92","PARENT","7075800","2012-01-10","2012","01","10","","-1.8","","-29.8","","-15.8","","33.8","","0.0","","0.0","","","M","1.6","","38","","33","","41",""
"-74.62","47.92","PARENT","7075800","2012-01-11","2012","01","11","","-16.3","","-31.9","","-24.1","","42.1","","0.0","","","M","","M","3.7","","36","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-12","2012","01","12","","-7.4","","-16.5","","-12.0","","30.0","","0.0","","0.0","","","M","5.6","","35","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-13","2012","01","13","","-6.5","","-22.7","","-14.6","","32.6","","0.0","","","M","","M","1.6","","42","","30","","39",""
"-74.62","47.92","PARENT","7075800","2012-01-14","2012","01","14","","-21.9","","-29.4","","-25.7","","43.7","","0.0","","","M","","M","1.5","","39","","31","","33",""
"-74.62","47.92","PARENT","7075800","2012-01-15","2012","01","15","","-15.9","","-33.8","","-24.9","","42.9","","0.0","","","M","","M","4.6","","38","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-16","2012","01","16","","-8.7","","-29.2","","-19.0","","37.0","","0.0","","","M","","M","3.4","","38","","23","","33",""
"-74.62","47.92","PARENT","7075800","2012-01-17","2012","01","17","","-6.1","","-12.1","","-9.1","","27.1","","0.0","","0.0","","","M","8.7","","37","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-18","2012","01","18","","-12.1","","-29.7","","-20.9","","38.9","","0.0","","","M","","M","3.0","","48","","29","","43",""
"-74.62","47.92","PARENT","7075800","2012-01-19","2012","01","19","","-11.4","","-27.3","","-19.4","","37.4","","0.0","","0.0","","","M","4.5","","43","","16","","39",""
"-74.62","47.92","PARENT","7075800","2012-01-20","2012","01","20","","-11.3","","-31.0","","-21.2","","39.2","","0.0","","","M","","M","1.6","","44","","26","","35",""
"-74.62","47.92","PARENT","7075800","2012-01-21","2012","01","21","","-12.7","","-31.2","","-22.0","","40.0","","0.0","","","M","","M","4.4","","43","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-22","2012","01","22","","-9.2","","-31.6","","-20.4","","38.4","","0.0","","","M","","M","4.5","","43","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-23","2012","01","23","","0.6","","-10.3","","-4.9","","22.9","","0.0","","","M","","M","2.3","","42","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-24","2012","01","24","","2.2","","-10.6","","-4.2","","22.2","","0.0","","0.0","","","M","8.7","","40","","17","","37",""
"-74.62","47.92","PARENT","7075800","2012-01-25","2012","01","25","","-10.6","","-19.2","","-14.9","","32.9","","0.0","","","M","","M","0.8","","43","","29","","32",""
"-74.62","47.92","PARENT","7075800","2012-01-26","2012","01","26","","-3.4","","-21.6","","-12.5","","30.5","","0.0","","","M","","M","3.2","","42","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-27","2012","01","27","","-3.9","","-8.1","","-6.0","","24.0","","0.0","","0.0","","","M","8.5","","41","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-28","2012","01","28","","-3.0","","-9.4","","-6.2","","24.2","","0.0","","0.0","","","M","1.8","","48","","27","","33",""
"-74.62","47.92","PARENT","7075800","2012-01-29","2012","01","29","","-3.7","","-17.7","","-10.7","","28.7","","0.0","","0.0","","","M","2.9","","52","","29","","39",""
"-74.62","47.92","PARENT","7075800","2012-01-30","2012","01","30","","-12.9","","-28.6","","-20.8","","38.8","","0.0","","","M","","M","3.0","","52","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-01-31","2012","01","31","","-7.9","","-30.7","","-19.3","","37.3","","0.0","","0.0","","","M","5.4","","51","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-01","2012","02","01","","-8.0","","-15.5","","-11.8","","29.8","","0.0","","0.0","","","M","8.7","","58","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-02","2012","02","02","","-6.6","","-25.0","","-15.8","","33.8","","0.0","","","M","","M","4.0","","59","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-03","2012","02","03","","-6.9","","-22.5","","-14.7","","32.7","","0.0","","0.0","","","M","3.2","","58","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-04","2012","02","04","","-9.0","","-26.0","","-17.5","","35.5","","0.0","","","M","","M","0.2","","59","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-05","2012","02","05","","-3.8","","-28.8","","-16.3","","34.3","","0.0","","","M","","M","4.2","","57","","24","","32",""
"-74.62","47.92","PARENT","7075800","2012-02-06","2012","02","06","","-1.7","","-10.9","","-6.3","","24.3","","0.0","","","M","","M","1.2","","58","","29","","37",""
"-74.62","47.92","PARENT","7075800","2012-02-07","2012","02","07","","-10.9","","-27.3","","-19.1","","37.1","","0.0","","","M","","M","0.0","","57","","30","","32",""
"-74.62","47.92","PARENT","7075800","2012-02-08","2012","02","08","","-6.8","","-26.9","","-16.9","","34.9","","0.0","","","M","","M","2.7","","56","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-09","2012","02","09","","-1.0","","-10.7","","-5.9","","23.9","","0.0","","","M","","M","0.0","","55","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-10","2012","02","10","","-4.3","","-23.6","","-14.0","","32.0","","0.0","","","M","","M","0.6","","55","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-11","2012","02","11","","-15.1","","-32.9","","-24.0","","42.0","","0.0","","","M","","M","4.1","","59","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-12","2012","02","12","","-16.3","","-28.6","","-22.5","","40.5","","0.0","","","M","","M","3.0","","57","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-13","2012","02","13","","-14.5","","-24.5","","-19.5","","37.5","","0.0","","","M","","M","1.9","","57","","","","<31",""
"-74.62","47.92","PARENT","7075800","2012-02-14","2012","02","14","","-2.8","","-22.0","","-12.4","","30.4","","0.0","","0.0","","","M","1.4","","56","","22","","32",""
"-74.62","47.92","PARENT","7075800","2012-02-15","2012","02","15","","-0.4","","-4.7","","-2.6","","20.6","","0.0","","","M","","M","0.8","","59","","","","<31",""
