"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-01","2005","01","01","","-1.0","","-16.5","","-8.8","","26.8","","0.0","","","M","","M","0.0","","35","","34","","43",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-02","2005","01","02","","-2.6","","-16.6","","-9.6","","27.6","","0.0","","0.0","","","M","4.4","","34","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-03","2005","01","03","","-1.1","","-10.0","","-5.6","","23.6","","0.0","","","M","","M","1.0","","35","","34","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-04","2005","01","04","","-5.8","","-15.3","","-10.6","","28.6","","0.0","","","M","","M","0.0","","36","","34","","43",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-05","2005","01","05","","-14.2","","-20.3","","-17.3","","35.3","","0.0","","","M","","M","0.0","","38","","34","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-06","2005","01","06","","-12.4","","-20.1","","-16.3","","34.3","","0.0","","0.0","","","M","4.8","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-07","2005","01","07","","-2.1","","-14.7","","-8.4","","26.4","","0.0","","","M","","M","1.2","","47","","18","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-08","2005","01","08","","-1.7","","-9.1","","-5.4","","23.4","","0.0","","","M","","M","0.0","","45","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-09","2005","01","09","","-1.0","","-9.7","","-5.4","","23.4","","0.0","","","M","","M","1.2","","44","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-10","2005","01","10","","-0.3","","-17.0","","-8.7","","26.7","","0.0","","0.0","","","M","1.6","","46","","30","","41",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-11","2005","01","11","","-8.7","","-21.7","","-15.2","","33.2","","0.0","","","M","","M","0.0","","45","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-12","2005","01","12","","0.6","","-10.9","","-5.2","","23.2","","0.0","","","M","","M","3.8","","44","","15","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-13","2005","01","13","","8.4","","-0.3","","4.1","","13.9","","0.0","","","M","","M","19.0","","42","","32","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-14","2005","01","14","","-0.3","","-17.3","","-8.8","","26.8","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-15","2005","01","15","","-10.1","","-18.7","","-14.4","","32.4","","0.0","","","M","","M","0.0","","37","","21","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-16","2005","01","16","","-13.2","","-23.4","","-18.3","","36.3","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-17","2005","01","17","","-18.0","","-26.3","","-22.2","","40.2","","0.0","","","M","","M","0.0","","38","","31","","37",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-18","2005","01","18","","-14.2","","-29.3","","-21.8","","39.8","","0.0","","","M","","M","0.0","","38","","15","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-19","2005","01","19","","-7.2","","-21.1","","-14.2","","32.2","","0.0","","","M","","M","3.6","","39","","32","","50",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-20","2005","01","20","","-19.1","","-26.0","","-22.6","","40.6","","0.0","","","M","","M","0.0","","38","","34","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-21","2005","01","21","","-19.6","","-29.8","","-24.7","","42.7","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-22","2005","01","22","","-17.6","","-25.4","","-21.5","","39.5","","0.0","","0.0","","","M","1.2","","38","","36","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-23","2005","01","23","","-14.6","","-27.0","","-20.8","","38.8","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2005-01-24","2005","01","24","","-3.4","","-17.5","","-10.5","","28.5","","0.0","","0.0","","","M","2.6","","36","","32","","41",""
