"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.55","46.57","MONT LAURIER","7035160","1995-01-01","1995","01","01","","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","6.4","","6.4","","20","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-02","1995","01","02","","-5.0","","-12.0","","-8.5","","26.5","","0.0","","0.0","","2.2","","2.2","","22","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-03","1995","01","03","","-9.0","","-19.0","","-14.0","","32.0","","0.0","","0.0","","2.0","","2.0","","24","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-04","1995","01","04","","-8.0","","-20.0","","-14.0","","32.0","","0.0","","0.0","","0.8","","0.8","","25","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-05","1995","01","05","","-4.0","","-33.0","","-18.5","","36.5","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-06","1995","01","06","","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","23.4","","23.4","","26","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-07","1995","01","07","","-7.0","","-20.0","","-13.5","","31.5","","0.0","","0.0","","10.0","","10.0","","49","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-08","1995","01","08","","-6.0","","-32.5","","-19.3","","37.3","","0.0","","0.0","","6.2","","6.2","","58","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-09","1995","01","09","","-15.0","","-26.0","","-20.5","","38.5","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-10","1995","01","10","","-23.0","","-37.0","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-11","1995","01","11","","-11.0","","-38.0","","-24.5","","42.5","","0.0","","0.0","","6.0","","6.0","","60","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-12","1995","01","12","","0.0","","-25.0","","-12.5","","30.5","","0.0","","2.0","","0.0","T","2.0","","66","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-13","1995","01","13","","2.0","","-6.0","","-2.0","","20.0","","0.0","","1.8","","0.0","","1.8","","60","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1995-01-14","1995","01","14","","11.0","","0.0","","5.5","","12.5","","0.0","","11.8","","0.0","","11.8","","58","","","","",""
