hydrologic_order,site_id,name,region,lat,lon,time_utc,total_cms,turbined_cms,spilled_cms,spill_share_pct
1,3-33,Première-Chute,Abitibi-Témiscamingue,47.6,-79.4526,2026-05-03T10:00:00+00:00,1008.39,583.32,425.07,42.2
2,3-31,Rapides-des-Quinze,Abitibi-Témiscamingue,47.591,-79.2939,2026-05-03T09:00:00+00:00,962.4,407.51,554.89,57.7
3,3-32,Rapides-des-Îles,Abitibi-Témiscamingue,47.5768,-79.3547,2026-05-03T10:00:00+00:00,1077.37,470.21,607.16,56.4
4,3-29,Rapide-2,Abitibi-Témiscamingue,47.9336,-78.5763,2026-05-03T10:00:00+00:00,404.49,327.85,76.64,18.9
5,3-28,Rapide-7,Abitibi-Témiscamingue,47.7684,-78.3106,2026-05-03T09:00:00+00:00,341.2,341.2,0,0.0
6,3-46,Bryson,Outaouais,45.6612,-76.6317,2026-05-03T10:00:00+00:00,1351.58,231.03,1120.55,82.9
7,3-62,Cabonga,Outaouais,47.3097,-76.4689,2026-05-03T10:00:00+00:00,8.47,,6.56,77.4
8,3-63,Mercier,Outaouais,46.7175,-75.9829,2026-05-03T10:00:00+00:00,541.73,278.45,266.66,49.2
9,3-65,Paugan,Outaouais,45.8097,-75.9312,2026-05-03T10:00:00+00:00,871.59,603.54,268.05,30.8
10,3-66,Chelsea,Outaouais,45.5126,-75.7775,2026-05-03T10:00:00+00:00,892.27,567.28,324.99,36.4
11,3-67,Rapides-Farmers,Outaouais,45.4988,-75.7633,2026-05-03T10:00:00+00:00,861.11,471.68,389.43,45.2
12,3-60,Carillon,Laurentides,45.568177,-74.383416,2026-05-03T09:00:00+00:00,6852.79,3096.57,3756.22,54.8
