"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.42","46.36","NORTH BAY A","6085700","1994-01-01","1994","01","01","","-1.4","","-20.8","","-11.1","","29.1","","0.0","","0.0","T","18.0","","17.0","","34","","35","","37",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-02","1994","01","02","","-20.4","","-29.2","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","42","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-03","1994","01","03","","-18.0","","-29.6","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","42","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-04","1994","01","04","","-13.3","","-22.6","","-18.0","","36.0","","0.0","","0.0","","0.6","","0.4","","42","","1","","37",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-05","1994","01","05","","-16.1","","-30.7","","-23.4","","41.4","","0.0","","0.0","","0.6","","0.4","","43","","36","","35",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-06","1994","01","06","","-23.6","","-31.5","","-27.6","","45.6","","0.0","","0.0","","0.0","","0.0","","43","","6","","37",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-07","1994","01","07","","-19.8","","-28.3","","-24.1","","42.1","","0.0","","0.0","","0.0","","0.0","","43","","6","","41",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-08","1994","01","08","","-19.9","","-26.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","43","","3","","33",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-09","1994","01","09","","-21.1","","-30.2","","-25.7","","43.7","","0.0","","0.0","","0.0","","0.0","","43","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-10","1994","01","10","","-10.7","","-25.6","","-18.2","","36.2","","0.0","","0.0","","0.0","T","0.0","T","43","","19","","33",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-11","1994","01","11","","-2.6","","-17.8","","-10.2","","28.2","","0.0","","0.0","T","2.2","","1.4","","42","","27","","50",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-12","1994","01","12","","-4.2","","-19.5","","-11.9","","29.9","","0.0","","0.0","","7.4","","6.2","","42","","28","","46",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-13","1994","01","13","","-10.0","","-21.7","","-15.9","","33.9","","0.0","","0.0","","1.0","","0.8","","49","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1994-01-14","1994","01","14","","-21.7","","-32.9","","-27.3","","45.3","","0.0","","0.0","","0.0","","0.0","","49","","3","","32",""
