"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.42","46.36","NORTH BAY A","6085700","1997-01-01","1997","01","01","","-13.5","","-21.8","","-17.7","","35.7","","0.0","","0.0","","1.2","","1.2","","32","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-02","1997","01","02","","-4.7","","-14.4","","-9.6","","27.6","","0.0","","0.4","","0.6","","1.0","","32","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-03","1997","01","03","","-2.4","","-6.5","","-4.5","","22.5","","0.0","","0.0","T","0.0","T","0.0","T","32","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-04","1997","01","04","","-3.6","","-10.2","","-6.9","","24.9","","0.0","","8.9","","5.0","","14.9","","32","","8","","61",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-05","1997","01","05","","2.8","","-3.6","","-0.4","","18.4","","0.0","","16.7","","3.6","","19.3","","22","","22","","56",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-06","1997","01","06","","-1.6","","-17.4","","-9.5","","27.5","","0.0","","0.0","","6.4","","3.1","","25","","24","","59",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-07","1997","01","07","","-12.3","","-17.9","","-15.1","","33.1","","0.0","","0.0","","0.6","","0.6","","30","","32","","37",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-08","1997","01","08","","-13.4","","-20.2","","-16.8","","34.8","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-09","1997","01","09","","-11.5","","-21.0","","-16.3","","34.3","","0.0","","0.0","","9.8","","8.4","","42","","6","","56",""
"-79.42","46.36","NORTH BAY A","6085700","1997-01-10","1997","01","10","","-4.9","","-18.5","","-11.7","","29.7","","0.0","","0.0","","9.0","","7.5","","48","","9","","50",""
