"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.42","46.36","NORTH BAY A","6085700","1985-01-01","1985","01","01","","-13.2","","-20.8","","-17.0","","35.0","","0.0","","0.0","","8.2","","6.6","","6","","4","","59",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-02","1985","01","02","","-14.1","","-22.3","","-18.2","","36.2","","0.0","","0.0","","0.2","","0.0","T","12","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-03","1985","01","03","","-5.6","","-18.3","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","12","","25","","41",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-04","1985","01","04","","-3.8","","-14.4","","-9.1","","27.1","","0.0","","0.0","T","1.0","","0.8","","12","","36","","50",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-05","1985","01","05","","-12.0","","-19.3","","-15.7","","33.7","","0.0","","0.0","","0.0","T","0.0","T","13","","36","","41",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-06","1985","01","06","","-14.1","","-19.2","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","13","","7","","33",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-07","1985","01","07","","-15.3","","-20.3","","-17.8","","35.8","","0.0","","0.0","","7.0","","4.4","","13","","2","","50",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-08","1985","01","08","","-18.6","","-24.6","","-21.6","","39.6","","0.0","","0.0","","0.0","T","0.0","T","17","","1","","44",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-09","1985","01","09","","-17.6","","-28.1","","-22.9","","40.9","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-10","1985","01","10","","-10.1","","-20.7","","-15.4","","33.4","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-11","1985","01","11","","-14.8","","-21.5","","-18.2","","36.2","","0.0","","0.0","","0.0","T","0.0","T","17","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-12","1985","01","12","","-10.0","","-18.9","","-14.5","","32.5","","0.0","","0.0","","2.8","","1.4","","17","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-13","1985","01","13","","-3.8","","-10.6","","-7.2","","25.2","","0.0","","0.4","","0.4","","0.6","","19","","19","","41",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-14","1985","01","14","","-4.2","","-22.2","","-13.2","","31.2","","0.0","","0.0","T","3.2","","2.9","","21","","36","","59",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-15","1985","01","15","","-21.2","","-28.2","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","21","","35","","56",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-16","1985","01","16","","-13.6","","-25.4","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","21","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-17","1985","01","17","","-11.9","","-14.2","","-13.1","","31.1","","0.0","","0.0","","6.2","","5.8","","24","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-18","1985","01","18","","-10.8","","-16.6","","-13.7","","31.7","","0.0","","0.0","","2.8","","2.2","","25","","3","","33",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-19","1985","01","19","","-16.6","","-25.3","","-21.0","","39.0","","0.0","","0.0","","1.0","","0.6","","26","","1","","35",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-20","1985","01","20","","-23.0","","-27.6","","-25.3","","43.3","","0.0","","0.0","","1.8","","0.8","","26","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-21","1985","01","21","","-12.7","","-29.5","","-21.1","","39.1","","0.0","","0.0","","0.6","","0.6","","27","","32","","39",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-22","1985","01","22","","-9.0","","-15.8","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","27","","29","","43",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-23","1985","01","23","","-7.4","","-11.8","","-9.6","","27.6","","0.0","","0.0","","1.8","","1.0","","29","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-24","1985","01","24","","-6.2","","-12.6","","-9.4","","27.4","","0.0","","0.0","","0.8","","0.8","","29","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-25","1985","01","25","","-9.0","","-17.7","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","29","","36","","52",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-26","1985","01","26","","-12.1","","-22.0","","-17.1","","35.1","","0.0","","0.0","","0.2","","0.0","T","27","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-27","1985","01","27","","-7.0","","-12.7","","-9.9","","27.9","","0.0","","0.0","","11.4","","6.6","","31","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-28","1985","01","28","","-9.2","","-18.2","","-13.7","","31.7","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-29","1985","01","29","","-13.3","","-24.3","","-18.8","","36.8","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-30","1985","01","30","","-5.9","","-15.2","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-01-31","1985","01","31","","-8.6","","-12.8","","-10.7","","28.7","","0.0","","0.0","","2.6","","2.2","","37","","10","","33",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-01","1985","02","01","","-9.1","","-19.3","","-14.2","","32.2","","0.0","","0.0","","0.2","","0.2","","39","","23","","31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-02","1985","02","02","","-16.4","","-25.2","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-03","1985","02","03","","-10.1","","-22.2","","-16.2","","34.2","","0.0","","0.0","","1.4","","1.0","","37","","23","","52",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-04","1985","02","04","","-12.5","","-22.3","","-17.4","","35.4","","0.0","","0.0","","0.0","","0.0","","35","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-05","1985","02","05","","-11.6","","-21.1","","-16.4","","34.4","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-06","1985","02","06","","-11.7","","-20.1","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-07","1985","02","07","","-17.0","","-25.3","","-21.2","","39.2","","0.0","","0.0","","0.0","T","0.0","T","31","","33","","31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-08","1985","02","08","","-16.1","","-21.4","","-18.8","","36.8","","0.0","","0.0","","0.8","","0.6","","30","","32","","44",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-09","1985","02","09","","-9.3","","-18.1","","-13.7","","31.7","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-10","1985","02","10","","-7.3","","-15.1","","-11.2","","29.2","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-11","1985","02","11","","-0.5","","-9.1","","-4.8","","22.8","","0.0","","0.0","","1.6","","1.4","","27","","10","","56",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-12","1985","02","12","","1.6","","-4.6","","-1.5","","19.5","","0.0","","0.0","T","1.8","","1.4","","27","","7","","52",""
"-79.42","46.36","NORTH BAY A","6085700","1985-02-13","1985","02","13","","1.2","","-5.3","","-2.1","","20.1","","0.0","","0.0","T","5.6","","5.2","","28","","6","","56",""
